date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:59	4476/4476	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2015:31:32%20GMT	https://html.digiboard.codebasket.xyz/login.html	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/login.html	(from )
19:18:02	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202023%2012:18:01%20GMT	https://html.digiboard.codebasket.xyz/robots.txt		(from )
19:18:02	1072/1072	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202022%2018:07:56%20GMT	https://html.digiboard.codebasket.xyz/favicon.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/favicon.png	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:07	20009/20009	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202022%2021:33:44%20GMT	https://html.digiboard.codebasket.xyz/assets/vendor/css/OverlayScrollbars.min.css	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/vendor/css/OverlayScrollbars.min.css	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:10	10690/10690	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2017:33:52%20GMT	https://html.digiboard.codebasket.xyz/assets/css/blue-color.css	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/css/blue-color.css	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:16	2643/2643	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Mar%202023%2017:40:40%20GMT	https://html.digiboard.codebasket.xyz/assets/images/logo-black.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/images/logo-black.png	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:20	82124/82124	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2022:23:20%20GMT	https://html.digiboard.codebasket.xyz/index.html	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/index.html	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:20	2986/2986	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2015:51:08%20GMT	https://html.digiboard.codebasket.xyz/reset-password.html	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/reset-password.html	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:23	220734/220734	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202023%2018:53:38%20GMT	https://html.digiboard.codebasket.xyz/assets/vendor/css/bootstrap.min.css	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/vendor/css/bootstrap.min.css	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:25	42602/42602	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202022%2021:34:02%20GMT	https://html.digiboard.codebasket.xyz/assets/vendor/js/jquery.overlayScrollbars.min.js	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/vendor/js/jquery.overlayScrollbars.min.js	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:26	80599/80599	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2008%20Jan%202023%2019:16:24%20GMT	https://html.digiboard.codebasket.xyz/assets/vendor/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/vendor/js/bootstrap.bundle.min.js	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:26	98035/98035	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2014%20Sep%202023%2021:22:44%20GMT	https://html.digiboard.codebasket.xyz/assets/js/main.js	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/js/main.js	(from https://html.digiboard.codebasket.xyz/login.html)
19:18:27	388501/388501	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Sep%202023%2021:51:22%20GMT	https://html.digiboard.codebasket.xyz/assets/css/style.css	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/css/style.css	(from https://html.digiboard.codebasket.xyz/login.html)
19:19:01	89501/89501	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2019%20May%202022%2015:08:56%20GMT	https://html.digiboard.codebasket.xyz/assets/vendor/js/jquery-3.6.0.min.js	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/vendor/js/jquery-3.6.0.min.js	(from https://html.digiboard.codebasket.xyz/login.html)
19:21:21	733/733	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Feb%202023%2021:36:00%20GMT	https://html.digiboard.codebasket.xyz/assets/images/arrow-down.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/images/arrow-down.png	(from https://html.digiboard.codebasket.xyz/assets/css/style.css)
19:21:21	82124/82124	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Sep%202023%2022:23:20%20GMT	https://html.digiboard.codebasket.xyz/	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/index-2.html	(from https://html.digiboard.codebasket.xyz/assets/vendor/css/bootstrap.min.css)
19:21:21	514/514	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Jan%202023%2016:04:58%20GMT	https://html.digiboard.codebasket.xyz/assets/images/check-mark.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/images/check-mark.png	(from https://html.digiboard.codebasket.xyz/assets/css/style.css)
19:21:21	1312/1312	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Jan%202023%2016:31:44%20GMT	https://html.digiboard.codebasket.xyz/assets/images/circle-1.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/assets/images/circle-1.png	(from https://html.digiboard.codebasket.xyz/assets/css/style.css)
19:21:21	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202023%2012:21:21%20GMT	https://html.digiboard.codebasket.xyz/images/circle-1.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/images/circle-1.png	(from https://html.digiboard.codebasket.xyz/assets/css/style.css)
19:21:22	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202023%2012:21:22%20GMT	https://html.digiboard.codebasket.xyz/images/circle-2.png	C:/My%20Web%20Sites/loginfake/html.digiboard.codebasket.xyz/images/circle-2.png	(from https://html.digiboard.codebasket.xyz/assets/css/style.css)
